,degree,lambda,MSE_train,MSE_test,R2_train,R2_test
0,1.0,0.001,0.026154476869580466,0.026154476869580466,0.6973962911837323,0.6968998916368877
1,2.0,0.001,0.019197035315898343,0.019197035315898343,0.7778968973670182,0.7775944930333922
2,3.0,0.001,0.009936669042262845,0.009936669042262846,0.8850363029336915,0.8848814442008528
3,4.0,0.001,0.006287683232327888,0.00628768323232789,0.9272537871944273,0.9271547732479659
4,5.0,0.001,0.00450825859158528,0.00450825859158528,0.9478419018500712,0.9477816918785986
5,6.0,0.001,0.004217331497096936,0.004217331497096936,0.9512080463403381,0.9511557306451601
6,1.0,0.01,0.026154476898378992,0.026154476898378985,0.6973962921877215,0.696899911927815
7,2.0,0.01,0.019197036663683158,0.019197036663683158,0.7778968836415892,0.7775945029220962
8,3.0,0.01,0.009937279248278997,0.009937279248278997,0.8850293126415473,0.8848754658217176
9,4.0,0.01,0.006537292152614303,0.0065372921526143015,0.9243663603371841,0.9242706281277437
10,5.0,0.01,0.005587994241374817,0.005587994241374817,0.9353492768432818,0.9352655455719059
11,6.0,0.01,0.00499743678835078,0.00499743678835078,0.9421822067703163,0.942113055585344
12,1.0,0.1,0.02615447977729381,0.026154479777293814,0.6973962722493134,0.6969000847873216
13,2.0,0.1,0.019197170479317804,0.019197170479317804,0.7778953540491516,0.7775932067549577
14,3.0,0.1,0.009988917330789899,0.009988917330789899,0.884432469684169,0.8842864828940729
15,4.0,0.1,0.008805318620351572,0.008805318620351572,0.8981263704138662,0.8980000057176964
16,5.0,0.1,0.007311871234045221,0.007311871234045221,0.9154052757991564,0.9153052595684488
17,6.0,0.1,0.006664745138489704,0.006664745138489704,0.922892148797804,0.9227994515067109
18,1.0,1.0,0.026154766733816132,0.026154766733816132,0.6973930857442804,0.6968988191342624
19,2.0,1.0,0.01920964549118765,0.019209645491187647,0.7777512017418993,0.7774511349887578
20,3.0,1.0,0.011645333306890607,0.011645333306890607,0.8652701402111239,0.8651244115340816
21,4.0,1.0,0.010800816921066526,0.010800816921066528,0.8750396007165312,0.8748881539141898
22,5.0,1.0,0.010505521645288141,0.010505521645288143,0.8784557617703712,0.8783044926100434
23,6.0,1.0,0.009886662908099258,0.009886662908099258,0.8856160291452999,0.8854785738127265
24,1.0,10.0,0.02618255182096544,0.02618255182096544,0.6970729357000842,0.6965971840661739
25,2.0,10.0,0.019907152771859317,0.01990715277185931,0.7696826236128287,0.76938906501626
26,3.0,10.0,0.01739657752466265,0.01739657752466265,0.7987298781875589,0.7984867253290265
27,4.0,10.0,0.015047006098295516,0.015047006098295517,0.8259139428002282,0.8257126647995003
28,5.0,10.0,0.013845341255820409,0.013845341255820409,0.8398164185663501,0.8396286850060137
29,6.0,10.0,0.013399967517550276,0.01339996751755028,0.8449687889856271,0.8447814878783824
